fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
42,400000,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,6040,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
43,400000,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,17673,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
44,487000,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,26289,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
45,415000,2019,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,99507,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
46,440000,2019,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,28511,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
47,420900,2019,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,48038,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
48,369900,2018,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,128901,Düz,Dizel,Önden Çekiş,45.0,1.368,94.0,1,3
49,430000,2022,Fiat,1.3 MultiJet Pop 95 Ps Combi,Fiorino,15,Düz,Dizel,,,1.248,94.0,0,0
50,515900,2022,Fiat,1.6 MultiJet Safeline 120 Ps Combi,Doblo,11379,Düz,Dizel,Önden Çekiş,60.0,1.598,118.0,0,0
51,350000,2018,Fiat,1.3 MultiJet Easy 95 Ps Combi,Doblo,170506,Düz,Dizel,Önden Çekiş,60.0,1.248,94.0,2,0
52,400000,2021,Fiat,1.3 MultiJet Easy 95 Ps Combi,Doblo,94763,Düz,Dizel,Önden Çekiş,60.0,1.248,94.0,0,0
53,549900,2020,Dacia,1.6 Sce Eco-G Comfort 115 Ps SUV,Duster,31685,Düz,Benzinli/LPG,Önden Çekiş,50.0,1.598,113.0,0,0
54,420000,2019,Renault,0.9 TCe Joy 90 Ps Sedan,Symbol,39227,Düz,Benzinli,Önden Çekiş,50.0,898.0,89.0,0,0
55,490000,2020,Fiat,1.4 Fire Urban Plus 95 Ps Sedan,Egea,6328,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
56,480000,2019,Fiat,1.4 Fire Urban Plus 95 Ps Sedan,Egea,24195,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
57,525000,2020,Fiat,1.4 16V Fire Street 95 Ps Hatchback,Egea,26045,Düz,Benzinli,Önden Çekiş,50.0,1.368,94.0,0,0
58,550000,2019,Fiat,1.6 E-Torq Easy Otomatik 110 Ps Sedan,Egea,54967,Otomatik,Benzinli,Önden Çekiş,45.0,1.598,109.0,0,2
59,200000,2006,Toyota,1.6 Sedan Terra,Corolla,427400,Düz,Benzinli/LPG,,,,,6,7
60,475000,2019,Citroen,1.6 BlueHDI Feel 102 Ps Kombi,Berlingo,22138,Düz,Benzinli/LPG,Önden Çekiş,53.0,1.56,100.0,0,0
61,350000,2010,Skoda,Fabia 1.4 PD TDi Classic,Fabia,138520,Düz,Dizel,Önden Çekiş,45.0,1.422,70.0,0,0
62,485000,2021,Citroen,1.5 BlueHDI Feel 100 Ps Sedan,C-Elysee,39026,Düz,Benzinli,Önden Çekiş,50.0,1.499,98.0,0,0
63,575000,2019,Fiat,1.6 E-TORQ 110 AT6,Egea,15103,Düz,Benzinli,,,,,0,0
64,520000,2013,Opel,Corsa 1.2i Twinport Essentia S-S,Corsa,155626,Düz,Benzinli,Önden Çekiş,45.0,1.229,85.0,0,0
65,207000,2008,Hyundai,2.5 D Kasalı 94 Ps Kamyonet,H100,204000,Düz,Dizel,,,2.476,93.0,0,0
66,510000,2020,Fiat,1.3 MultiJet Easy Plus 95 Ps Sedan,Egea,28500,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,1,2
67,550000,2021,Fiat,1.6 MultiJet Trekking 120 Ps Combi,Doblo,10478,Düz,Dizel,Önden Çekiş,60.0,1.598,118.0,0,0
68,415000,2012,Ford,1.6 Ti-VCT Style Plus 125 Ps Hatchback,Focus,132934,Otomatik,Benzinli/LPG,Önden Çekiş,55.0,1.596,123.0,3,2
69,550000,2019,Renault,JOY 0.9 TCE 90,Symbol,19649,Düz,Benzinli,,,,,0,0
70,460000,2011,Hyundai,Elantra 1.6 D-CVVT Prime Plus Otomatik,Elantra,98495,Otomatik,Benzinli,Önden Çekiş,48.0,1.591,132.0,0,1
71,385000,2006,Volkswagen,Transporter Camlı Van 1.9 TDI 4+1,Transporter,134655,Düz,Benzinli,,80.0,1.896,105.0,0,0
72,219900,2006,Renault,1.6 Dynamique 115 Ps Grandtour,Megane,397220,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,114.0,0,0
73,146900,2004,Peugeot,1.4 HDI XR 69 Ps Hatchback,307,246250,Düz,Dizel,Önden Çekiş,60.0,1.398,68.0,0,0
74,479900,2019,Renault,0.9 TCe Touch 90 Ps Hatchback,Clio,73266,Düz,Benzinli,Önden Çekiş,45.0,898.0,89.0,0,0
75,85900,2001,Suzuki,1.3 GLX 68 Ps Hatchback Manuel,Swift,240000,Düz,Benzinli/LPG,,,,,0,0
76,405900,2018,Renault,1.2 16V Joy 75 Ps Hatchback,Clio,42111,Düz,Benzinli,Önden Çekiş,45.0,1.149,74.0,4,0
77,539900,2020,Fiat,1.6 MultiJet Easy DCT 120 Ps Sedan,Egea,116568,Otomatik,Dizel,Önden Çekiş,45.0,1.598,118.0,0,1
78,435900,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,96445,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
79,445900,2021,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,46662,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.368,94.0,0,0
80,494900,2017,Renault,1.5 DCI Touch EDC 90 Ps Hatchback,Clio,86105,Düz,Dizel,Önden Çekiş,45.0,1.461,89.0,4,2
81,299900,2017,Fiat,1.3 MultiJet Pop ESP 75 Ps Combi,Fiorino,127659,Düz,Dizel,,45.0,1.248,74.0,4,0
82,465900,2015,Fiat,1.6 MultiJet Lounge 120 Ps Sedan,Egea,108693,Düz,Benzinli,Önden Çekiş,45.0,1.598,118.0,0,2
83,359900,2016,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,182581,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,3,3
84,385900,2006,Mercedes,Vaneo 140 Trend,Vaneo,239819,Düz,Dizel,Önden Çekiş,54.0,1.598,82.0,7,3
85,325900,2017,Fiat,Linea 1.3 Multijet Pop,Linea,116667,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,1,0
86,245900,2014,Fiat,Linea 1.3 Multijet Pop,Linea,242938,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,4,4
87,425900,2020,Ford,Tourneo Courier 1.5 TDCi Trend,Tourneo Courier,85534,Düz,Dizel,,45.0,1.498,75.0,0,0
88,150900,2004,Opel,Corsa 1.3 CDTI Essentia,Corsa,228274,Düz,Dizel,Önden Çekiş,44.0,1.248,70.0,0,9
89,405900,2015,Renault,Symbol 1.5 dCi Joy,Symbol,45289,Düz,Dizel,Önden Çekiş,50.0,1.461,75.0,1,0
90,215900,2005,Fiat,Panda 1.2 Dynamic,Panda,158278,Düz,Benzinli,Önden Çekiş,35.0,1.242,60.0,7,0
91,229900,2006,Renault,Clio 1.2 16V Expression,Clio,171213,Düz,Benzinli,Önden Çekiş,55.0,1.149,75.0,0,0
92,215900,2006,Hyundai,Getz 1.5 VGT 4 HY KLM ABS SR,Getz,208186,Düz,Dizel,Önden Çekiş,45.0,1.493,110.0,7,2
93,349900,2012,Opel,Corsa 1.4i Twinport Enjoy Otomatik 15 Alaşım Jant,Corsa,135280,Otomatik,Benzinli/LPG,Önden Çekiş,45.0,1.364,100.0,3,3
94,195900,2006,Fiat,Punto 1.3 Active,Punto,197543,Düz,Dizel,,,,,0,8
95,325900,2011,Renault,Megane 1.5 dCi Privilege,Megane,293528,Düz,Dizel,Önden Çekiş,60.0,1.461,105.0,0,0
96,299900,2010,Fiat,Grande Punto 1.4 Fire Active,Grande Punto,86984,Düz,Benzinli,Önden Çekiş,45.0,1.368,77.0,0,0
97,342900,2011,Fiat,Punto EVO 1.3 Mjet Dynamic,Punto,92558,Düz,Dizel,Önden Çekiş,45.0,1.248,75.0,2,0
98,320900,2015,Fiat,Linea 1.3 Multijet Pop GSR,Linea,102344,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,2,3
99,325000,2008,Hyundai,Accent Era 1.4 Team ABS,Accent,61621,Düz,Benzinli,Önden Çekiş,45.0,1.399,97.0,4,0
100,175000,2004,Renault,Symbol 1.4 Alize,Symbol,224924,Düz,Benzinli/LPG,Önden Çekiş,50.0,1.39,98.0,2,0
101,365000,2013,Ford,Fiesta 1.5 TDCi Titanium,Fiesta,121184,Düz,Dizel,Önden Çekiş,42.0,1.498,75.0,4,1
102,321900,2013,Citroen,C- Elysee 1.6 HDİ Exclusive,C- Elysee,154242,Düz,Dizel,Önden Çekiş,48.0,1.56,92.0,2,1
103,310000,2011,Chevrolet,Aveo 1.4 LT,Aveo,170000,Düz,Benzinli/LPG,Önden Çekiş,46.0,1.398,100.0,0,0
104,225900,2008,Opel,Vectra 1.6 Comfort,Vectra,146000,Düz,Benzinli/LPG,Önden Çekiş,61.0,1.598,105.0,13,0
105,450000,2011,Renault,Fluence 1.5 dCi Dynamique,Fluence,132905,Düz,Dizel,Önden Çekiş,60.0,1.461,85.0,0,0
106,610000,2012,Peugeot,508 1.6 HDi Active,508,191952,Düz,Dizel,Önden Çekiş,72.0,1.56,112.0,2,0
107,370000,2010,Ford,Fiesta 1.4 Titanium,Fiesta,131000,Düz,Benzinli/LPG,Önden Çekiş,42.0,1.388,96.0,0,0
