fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca
182,485000,2015,Fiat,1.3 MultiJet Premio ESP 75 Ps Combi,Fiorino,125907,Düz,Dizel,,45.0,1.248,74.0,0,0
183,481000,2019,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,79719,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
184,650000,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,96030,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
185,480000,2020,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,70600,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
186,420000,2017,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,73154,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,1,0
187,485000,2018,Fiat,1.6 MultiJet Urban DCT 120 Ps Sedan,Egea,81500,Otomatik,Dizel,Önden Çekiş,45.0,1.598,118.0,0,0
188,350000,2010,Opel,Astra HB 1.6 Enjoy Easytronic,Astra,136000,Otomatik,Benzinli,Önden Çekiş,52.0,1.598,115.0,3,3
189,430000,2013,Volkswagen,Golf 1.2 TSI BMT Midline Plus,Golf,174204,Düz,Benzinli,Önden Çekiş,50.0,1.197,105.0,6,3
190,340000,2015,Dacia,Sandero Stepway 1.5 Dci,Sandero,129450,Düz,Dizel,,,,,2,4
191,420000,2012,Hyundai,i20 1.4 CVVT Sense Otomatik,i20,115091,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.396,100.0,0,0
192,370000,2007,Honda,Civic 1.6 Elegance,Civic,259931,Düz,Benzinli/LPG,Önden Çekiş,50.0,1.595,125.0,5,0
193,310000,2014,Fiat,Linea 1.4 Fire Actual,Linea,155000,Düz,Benzinli,Önden Çekiş,45.0,1.368,77.0,2,0
194,290000,2013,Hyundai,i20 1.4 CRDI JUMP,i20,218055,Düz,Benzinli,Önden Çekiş,45.0,1.396,90.0,8,4
195,250000,2011,Toyota,COROLLA SEDAN 1.6 ELEGANT,Corolla,353580,Düz,Dizel,Önden Çekiş,55.0,1.598,124.0,0,3
196,249900,2012,Fiat,Doblo Classic Combi 1.3 Multijet Safeline,Doblo,223498,Düz,Dizel,,60.0,1.248,75.0,0,0
197,315000,2015,Fiat,Linea 1.3 Multijet Pop,Linea,197489,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,4,1
198,345000,2017,Fiat,Linea 1.3 Multijet Pop,Linea,185912,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,1,0
199,310000,2010,Ford,Focus 1.6 TDCi Trend,Focus,274000,Düz,Dizel,Önden Çekiş,55.0,1.56,90.0,4,0
200,305000,2011,Fiat,Doblo Combi 1.3 Multijet Dynamic,Doblo,204118,Düz,Dizel,Önden Çekiş,60.0,1.248,90.0,1,0
201,219900,2005,Renault,Clio 1.4 16V Authentique,Clio,129197,Düz,Benzinli,Önden Çekiş,55.0,1.39,98.0,0,0
202,480000,2017,Fiat,Van Maxi 15 M³ 2.3 130 HP,Ducato,140541,Düz,Benzinli,,,,,0,0
203,219900,2006,Fiat,Palio 1.4 Fire Active,Palio,70037,Düz,Benzinli,Önden Çekiş,51.0,1.368,77.0,6,1
204,520000,2016,Renault,Fluence 1.5 dCi Icon,Fluence,102074,Otomatik,Dizel,Önden Çekiş,60.0,1.461,110.0,0,0
205,300000,2009,Renault,Symbol 1.4 8V Authentique,Symbol,105000,Düz,Benzinli,Önden Çekiş,50.0,1.39,75.0,12,0
206,515000,2012,Volkswagen,Jetta 1.6 TDI Comfortline DSG,Jetta,120550,Otomatik,Dizel,Önden Çekiş,55.0,1.598,105.0,6,2
207,300000,2012,Opel,Corsa 1.3 CDTI Essentia,Corsa,207900,Düz,Dizel,Önden Çekiş,45.0,1.248,75.0,0,0
208,265000,2010,Chevrolet,Cruze 1.6 LS,Cruze,199520,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,113.0,0,0
209,268000,2012,Fiat,Punto 1.2 Pop S-S,Punto,159930,Düz,Benzinli,Önden Çekiş,45.0,1.242,69.0,0,0
210,390000,2016,Fiat,Doblo Combi 1.3 M.jet Safeline,Doblo,112226,Düz,Dizel,Önden Çekiş,60.0,1.248,90.0,0,0
211,499000,2014,Skoda,Yeti 1.6 TDI Ambition Greenline,Yeti,187835,Otomatik,Dizel,Önden Çekiş,60.0,1.598,105.0,2,1
212,340000,2006,Toyota,Corolla 1.6 HB,Corolla,239291,Otomatik,Benzinli/LPG,,,,,2,2
213,409500,2013,Renault,Clio 1.2 16V Icon,Clio,73396,Düz,Benzinli,Önden Çekiş,45.0,1.149,75.0,1,3
214,300000,2015,Citroen,Nemo Combi 1.3 HDI SX Plus Vizyon,Nemo,138291,Düz,Dizel,Önden Çekiş,45.0,1.248,74.0,3,0
215,209900,2013,Fiat,Fiorino Cargo Plus 1.3 Multijet,Fiorino,295371,Düz,Dizel,,45.0,1.248,75.0,0,0
216,318000,2009,Hyundai,Accent Era 1.4 Team,Accent,134040,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.399,97.0,2,2
217,300000,2012,Fiat,Doblo Combi 1.6 M.jet Easy,Doblo,305675,Düz,Dizel,Önden Çekiş,60.0,1.598,105.0,0,0
218,450000,2012,Renault,Fluence 1.5 dCi Business EDC,Fluence,210000,Düz,Benzinli,Önden Çekiş,60.0,1.461,110.0,1,2
219,600000,2012,Renault,Clio 1.5 dCi Extreme,Clio,150147,Düz,Dizel,Önden Çekiş,55.0,1.461,85.0,3,1
220,380000,2003,Ford,Focus 1.6 Ghia,Focus,216083,Düz,Benzinli,Önden Çekiş,55.0,1.596,100.0,10,0
221,255000,2009,Citroen,Berlingo 1.6 HDi Combi SX,Berlingo,200170,Düz,Dizel,,60.0,1.56,75.0,0,0
222,249900,2009,Hyundai,Getz 1.5 VGT 4 HY KLM,Getz,232411,Düz,Dizel,Önden Çekiş,45.0,1.493,88.0,0,1
223,210000,2006,Renault,Clio 1.4 16V Dynamique,Clio,212130,Düz,Benzinli/LPG,Önden Çekiş,55.0,1.39,98.0,4,0
224,300000,2016,Fiat,Fiorino Combi 1.3 Multijet Safeline,Fiorino,80751,Düz,Dizel,,45.0,1.248,75.0,0,1
225,405000,2012,Renault,Clio Turbo Icon Stop-Start,Clio,112124,Düz,Benzinli,Önden Çekiş,45.0,898.0,90.0,0,0
226,155000,1993,Lada,1.5 H-B,Samara,271000,Düz,Benzinli/LPG,,,,,0,0
227,360000,2017,Peugeot,301 1.6 Hdi Active,301,242397,Düz,Dizel,Önden Çekiş,50.0,1.56,92.0,0,0
228,360000,2017,Peugeot,301 1.6 Hdi Active,301,191077,Düz,Dizel,Önden Çekiş,50.0,1.56,92.0,1,1
229,260000,2005,Nissan,Almera 1.5 Tekna,Almera,275323,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.498,98.0,1,0
230,440000,2016,Fiat,Doblo Combi 1.6 M.jet Premio Plus,Doblo,68222,Düz,Dizel,Önden Çekiş,60.0,1.598,105.0,0,0
231,205000,2011,Peugeot,Partner Tepee 1.6 HDI Premium Pack,Partner,217350,Düz,Dizel,Önden Çekiş,60.0,1.56,110.0,0,0
232,440000,2011,Ford,Focus 1.6 Collection,Focus,173895,Düz,Benzinli/LPG,Önden Çekiş,55.0,1.596,100.0,0,1
233,200000,2006,Chevrolet,Lacetti Sedan 1.6 16V SX,Lacetti,156000,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,109.0,5,0
234,1200000,2017,Nissan,X-Trail 1.6 dCi Sky Pack Xtronic,X-Trail,80000,Otomatik,Dizel,Önden Çekiş,60.0,1.598,131.0,0,0
235,219900,2008,Fiat,Palio Sole 1.4 Fire Dynamic,Palio,223917,Düz,Benzinli/LPG,Önden Çekiş,51.0,1.368,77.0,3,0
236,350000,2016,Fiat,Doblo Combi 1.6 Multijet Premio,Doblo,221489,Düz,Dizel,Önden Çekiş,60.0,1.598,105.0,0,0
237,400000,2013,Opel,Corsa 1.3 CDTI Essentia,Corsa,78446,Düz,Dizel,Önden Çekiş,45.0,1.248,75.0,1,1
238,330000,2011,Volkswagen,Caddy 1.6 TDI Trendline,Caddy,328700,Düz,Dizel,Önden Çekiş,60.0,1.598,102.0,2,0
239,295000,2015,Renault,Symbol 1.5 dCi Joy,Symbol,182000,Düz,Dizel,Önden Çekiş,50.0,1.461,90.0,3,0
240,279900,2015,Renault,Symbol 1.2 16V Joy,Symbol,176288,Düz,Benzinli,Önden Çekiş,50.0,1.149,75.0,3,1
241,310000,2012,Ford,Fiesta 1.25i Trend,Fiesta,71400,Düz,Benzinli,Önden Çekiş,42.0,1.242,82.0,4,0
242,244900,2011,Renault,Symbol 1.5 dCi Authentique,Symbol,152778,Düz,Dizel,Önden Çekiş,50.0,1.461,65.0,7,2
243,305000,2016,Fiat,Fiorino Combi 1.3 Multijet Pop,Fiorino,89470,Düz,Dizel,,45.0,1.248,75.0,2,1
244,255000,2013,Fiat,Fiorino Combi 1.3 Multijet Pop,Fiorino,182500,Düz,Dizel,,45.0,1.248,75.0,0,0
245,310000,2015,Fiat,Linea 1.3 Multijet Pop,Linea,238078,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,1,0
246,350000,2015,Fiat,Linea 1.3 Multijet Pop,Linea,58025,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,1,0
247,245000,2011,Fiat,Linea 1.6 Multijet Emotion Plus,Linea,242000,Düz,Dizel,Önden Çekiş,45.0,1.598,105.0,0,0
248,300000,2014,Fiat,Linea 1.3 Multijet Actual,Linea,135828,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,1
249,310000,2010,Suzuki,ALTO 1.0 GL,Alto,110555,Düz,Benzinli,Önden Çekiş,35.0,996.0,68.0,2,0
250,385000,2014,Hyundai,i20 1.4 CRDI JUMP,i20,101901,Düz,Dizel,Önden Çekiş,45.0,1.396,90.0,0,0
251,300000,2012,Hyundai,i20 1.4 CVVT JUMP,i20,122000,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.396,100.0,3,0
252,335000,2015,Fiat,Fiorino 1.3 Premio 75Hp,Fiorino,123445,Düz,Dizel,,,,,1,2
253,555000,2015,Seat,Leon 1.6 CR TDI Style DSG,Leon,135890,Otomatik,Dizel,Önden Çekiş,55.0,1.598,105.0,0,0
254,265000,2005,Renault,Megane Wagon 1.6 16V Privilege,Megane,262978,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,110.0,3,1
255,400000,2016,Fiat,1.3 Ecojet Premio Plus,Doblo,121650,Düz,Dizel,,,,,1,0
256,215000,2000,Renault,Clio 1.4 RNA,Clio,173504,Düz,Benzinli/LPG,,,,,1,2
257,365900,2011,Kia,Venga 1.6 CRDi Panaroma,Venga,102898,Düz,Benzinli,Önden Çekiş,48.0,1.582,128.0,0,0
258,485000,2016,Fiat,1.6 DCT Urban,Egea,147021,Otomatik,Dizel,,,,,1,0
259,540000,2018,Fiat,Pratico Plus 1.6 M.Jet 120 Hp,Pratico,133058,Düz,Dizel,,,,,1,0
260,350000,2017,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,171370,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
261,350000,2018,Fiat,1.4 Fire Safeline 77 Ps Combi,Fiorino,55665,Düz,Benzinli,,45.0,1.368,76.0,0,0
262,300000,2015,Fiat,1.3 MultiJet Pop ESP 75 Ps Combi,Fiorino,181700,Düz,Dizel,,45.0,1.248,74.0,0,0
263,485000,2020,Fiat,1.4 16V Fire Urban Plus 95 Ps Hatchback,Egea,11916,Düz,Benzinli,Önden Çekiş,50.0,1.368,94.0,0,0
264,310000,2005,Ford,1.6 VCT Trend 115 Ps MPV,C-Max,260436,Düz,Dizel,Önden Çekiş,55.0,1.596,114.0,3,0
265,375000,2015,Fiat,1.3 MultiJet Emotion ESP 75 Ps Combi,Fiorino,81693,Düz,Benzinli,,45.0,1.248,74.0,0,0
266,310000,2019,Fiat,1.4 Fire Pop 77 Ps Combi,Fiorino,86000,Düz,Benzinli,,45.0,1.368,76.0,0,0
267,355000,2021,Fiat,1.4 Fire Pop 77 Ps Combi,Fiorino,82511,Düz,Benzinli,,45.0,1.368,76.0,0,0
268,399900,2018,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,62676,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,3,0
269,470000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,27243,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
270,479900,2016,Fiat,1.6 E-Torq 110 Hp Urban,Egea,133731,Otomatik,Benzinli/LPG,,,,,1,0
271,400000,2021,Fiat,1.3 MultiJet Easy 95 Ps Combi,Doblo,94240,Düz,Dizel,Önden Çekiş,60.0,1.248,94.0,0,0
272,510000,2021,Fiat,1.3 MultiJet Maxi Safeline 95 Ps Combi,Doblo,24545,Düz,Dizel,Önden Çekiş,60.0,1.248,94.0,0,0
273,625900,2015,Skoda,1.6 TDI GreenTec Style DSG 110 Ps Hatchback,Octavia,148311,Otomatik,Dizel,Önden Çekiş,50.0,1.598,108.0,1,3
274,389900,2016,Citroen,1.6 hdi,C-Elysee,139037,Düz,Dizel,,,,,2,0
275,155000,2006,Peugeot,2.0 HDI 170 C 91 Ps Van,Partner,246500,Otomatik,Dizel,,,1.997,90.0,4,1
276,240000,1977,Mercedes,MERCEDES 230-4 DİZEL,230,110000,Düz,Dizel,,,,,0,0
277,808900,2022,Fiat,LOUNGE 1.6 M.Jet 130 HP DCT,Yeni Egea Cross,17343,Düz,Benzinli,,,,,0,0
278,190000,2019,Citroen,1.6 BlueHDI Feel 76 Ps Hatchback,C3,214927,Düz,Dizel,Önden Çekiş,42.0,1.56,75.0,3,0
279,662500,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,24274,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,0
280,600000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,33129,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,2,1
281,580000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,25352,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,2,2
282,415000,2019,Renault,0.9 TCe Joy 90 Ps Sedan,Symbol,39900,Düz,Benzinli,Önden Çekiş,50.0,898.0,89.0,0,0
283,389900,2019,Citroen,1.2 PureTech Live 83 Ps Sedan,C-Elysee,55109,Düz,Benzinli,Önden Çekiş,50.0,1.199,82.0,0,0
284,449900,2021,Fiat,1.4 Fire Easy Plus 95 Ps Sedan,Egea,48601,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.368,94.0,0,0
285,470000,2020,Fiat,1.4 16V Fire Street 95 Ps Hatchback,Egea,33500,Düz,Benzinli,Önden Çekiş,50.0,1.368,94.0,2,0
286,380000,2019,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,183500,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,1,0
287,550000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,14327,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
288,475000,2016,Toyota,1.33 Life 99 Ps Sedan,Corolla,69215,Düz,Benzinli,Önden Çekiş,55.0,1.329,98.0,3,0
289,290000,2010,Hyundai,1.5 CRDI VGT Eco Otomatik 110 Ps Sedan,Accent Era,262000,Düz,Benzinli,Önden Çekiş,45.0,1.493,109.0,3,1
290,320000,2014,Hyundai,1.2 MPI Jump 84 Ps Hatchback,i20,167150,Düz,Benzinli,Önden Çekiş,50.0,1.248,83.0,4,4
291,249900,2015,Fiat,1.3 MultiJet Safeline ESP 75 Ps Combi,Fiorino,216672,Düz,Dizel,,45.0,1.248,74.0,2,3
292,450000,2021,Fiat,1.6 MultiJet Safeline 105 Ps Combi,Doblo,78291,Düz,Dizel,Önden Çekiş,60.0,1.598,103.0,0,0
293,335000,2017,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,227350,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,2,2
294,345000,2016,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,166603,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,1,1
295,450000,2018,Peugeot,Boxer Van 435 L4H3 HDİ 120 HP,Boxer,131633,Düz,Dizel,,,,,4,0
296,349900,2010,Volkswagen,Polo 1.4 TSI Comfortline DSG,Polo,153129,Düz,Benzinli,Önden Çekiş,45.0,1.39,85.0,4,1
297,239900,2009,Hyundai,i10 1.1 TEAM,i10,95527,Düz,Benzinli/LPG,Önden Çekiş,35.0,1.086,66.0,4,2
298,190000,2005,Hyundai,GETZ 1.3 GLS,Getz,189318,Düz,Benzinli,Önden Çekiş,45.0,1.341,82.0,7,3
299,300000,2004,Volkswagen,Polo 1.4 Comfortline,Polo,225000,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.39,75.0,0,0
300,275000,2012,Fiat,Linea 1.3 Multijet Active Plus,Linea,112000,Düz,Dizel,Önden Çekiş,45.0,1.248,90.0,2,1
301,330000,2015,Fiat,Linea 1.3 Multijet Pop,Linea,113000,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,0,0
302,330000,2017,Fiat,Linea 1.3 Multijet Pop,Linea,132201,Düz,Dizel,Önden Çekiş,45.0,1.248,95.0,2,0
303,385000,2012,Renault,Symbol 1.5 dCi Authentique,Symbol,140528,Düz,Dizel,Önden Çekiş,50.0,1.461,65.0,3,1
304,200000,2011,Fiat,Fiorino Cargo 1.3 Multijet Active,Fiorino,207407,Düz,Dizel,,45.0,1.248,75.0,2,0
305,370000,2005,Opel,Corsa 1.3 CDTI Essentia,Corsa,225057,Düz,Benzinli,Önden Çekiş,44.0,1.248,70.0,5,0
306,200000,2005,Renault,Kangoo 1.5 dCi Authentique,Kangoo,271113,Düz,Dizel,Önden Çekiş,50.0,1.461,70.0,3,0
307,355000,2011,Kia,Ceed 1.6 CRDi Cool,Ceed,262623,Düz,Dizel,Önden Çekiş,53.0,1.582,90.0,2,4
308,420000,2009,Nissan,Qashqai 1.6 Tekna 4x2,Qashqai,111650,Düz,Benzinli,Önden Çekiş,65.0,1.598,115.0,0,0
309,450000,2021,Fiat,Doblo Combi Maxi 1.3 M.jet Safeline,Doblo,75660,Düz,Dizel,Önden Çekiş,60.0,1.248,90.0,0,0
310,395000,2012,Nissan,Micra 1.2 Platinum,Micra,38036,Düz,Benzinli,Önden Çekiş,41.0,1.198,80.0,0,0
311,225900,2006,Fiat,Punto 1.3 Active,Punto,161691,Düz,Dizel,,,,,6,2
312,430000,2021,Fiat,Doblo Combi 1.6 Multijet Safeline,Doblo,78128,Düz,Benzinli,Önden Çekiş,60.0,1.598,105.0,0,0
313,270000,2008,Fiat,Grande Punto 1.4 Fire Active,Grande Punto,123667,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.368,77.0,0,0
314,250000,2016,Fiat,Doblo Cargo Maxi 1.3 Multijet,Doblo,191000,Düz,Dizel,Önden Çekiş,60.0,1.248,90.0,10,0
315,280000,2010,Opel,Corsa 1.2 Essentia,Corsa,190000,Düz,Benzinli/LPG,Önden Çekiş,45.0,1.229,80.0,0,0
316,250000,2012,Dacia,Logan 1.5 DCI Ambiance,Logan,250000,Düz,Dizel,Önden Çekiş,50.0,1.461,75.0,7,4
317,340000,2006,Toyota,Avensis 1.6 Comfort,Avensis,222000,Düz,Benzinli/LPG,Önden Çekiş,60.0,1.598,110.0,0,0
318,350000,2014,Renault,Clio 1.5 dCi Joy,Clio,130103,Düz,Dizel,Önden Çekiş,45.0,1.461,75.0,0,0
319,285000,2008,Honda,City 1.4 Comfort,City,171953,Düz,Benzinli,Önden Çekiş,42.0,1.339,83.0,0,0
320,300000,2014,Dacia,Logan MCV 1.5 dCi Ambiance,Logan,275500,Düz,Dizel,Önden Çekiş,50.0,1.461,75.0,4,0
321,475000,2019,Fiat,1.6 MultiJet Urban DCT 120 Ps Sedan,Egea,100000,Otomatik,Dizel,Önden Çekiş,45.0,1.598,118.0,0,0
322,460000,2018,Fiat,1.6 MultiJet Urban DCT 120 Ps Sedan,Egea,100000,Otomatik,Dizel,Önden Çekiş,45.0,1.598,118.0,5,0
323,452000,2016,Hyundai,1.2 MPI Jump 84 Ps Hatchback,i20,77200,Düz,Benzinli,Önden Çekiş,50.0,1.248,83.0,1,0
324,430000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,20000,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
325,532500,2022,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,12002,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
326,530000,2020,Fiat,1.4 Fire Mirror 95 Ps Sedan,Egea,20894,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
327,455000,2020,Fiat,1.3 MultiJet Safeline 95 Ps Combi,Fiorino,19700,Düz,Dizel,,45.0,1.248,94.0,0,0
328,650000,2016,Ford,1.5 TDCI Titanium 75 Ps Hatchback,Fiesta,156245,Düz,Dizel,Önden Çekiş,42.0,1.498,74.0,2,1
329,550000,2022,Fiat,1.4 Fire Street 95 Ps Cross,Egea,7384,Düz,Benzinli,,,1.368,94.0,0,0
330,595000,2022,Fiat,1.4 Fire Urban 95 Ps Cross,Egea,17099,Düz,Benzinli,,,1.368,94.0,0,0
331,200000,2005,Renault,1.2 16V Authentique 65 Ps Hatchback,Clio,227672,Düz,Benzinli,Önden Çekiş,55.0,1.149,64.0,10,0
332,595000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,38000,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,2
333,375000,2010,Skoda,Octavia 1.6 CR TDI Ambiente DSG,Octavia,198000,Otomatik,Dizel,Önden Çekiş,55.0,1.598,105.0,10,0
334,400000,2004,Volkswagen,1.6 FSI Sportline Tiptronic 115 Ps Hatchback,Golf,191350,Otomatik,Benzinli,Önden Çekiş,55.0,1.598,114.0,0,1
335,1430000,2022,Bmw,216d Sport Line Otomatik 116 Ps Gran Coupe,2 Serisi,22700,Otomatik,Dizel,,,1.496,114.0,0,0
336,1420000,2022,Bmw,216d Sport Line Otomatik 116 Ps Gran Coupe,2 Serisi,19300,Otomatik,Dizel,,,1.496,114.0,0,0
337,320000,2017,Fiat,1.3 MultiJet Maxi Easy ESP 90 Ps Combi,Doblo,350000,Düz,Dizel,Önden Çekiş,60.0,1.248,89.0,3,0
338,505000,2022,Fiat,1.4 Fire Easy Plus 95 Ps Sedan,Egea,15322,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
339,430000,2020,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,36610,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,1
340,405000,2019,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,61970,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,0,0
341,430000,2017,Fiat,1.4 Fire Premio 77 Ps Combi,Fiorino,84238,Düz,Benzinli/LPG,,45.0,1.368,76.0,0,0
342,370000,2017,Fiat,1.3 MultiJet Premio ESP 95 Ps Combi,Fiorino,66015,Düz,Dizel,,45.0,1.248,94.0,2,0
343,335000,2016,Fiat,1.3 MultiJet Easy ESP 90 Ps Combi,Doblo,229261,Düz,Dizel,Önden Çekiş,60.0,1.248,89.0,1,0
344,180000,2001,Renault,Clio 1.4 RNA,Clio,330750,Düz,Benzinli/LPG,,,,,3,8
345,265000,2010,Ford,Transit Connect GLX K210 S 1.8 TDCi,Transit Connect,246500,Düz,Dizel,Önden Çekiş,60.0,1.753,90.0,0,0
346,287000,2014,Fiat,Fiorino Combi 1.3 Multijet Emotion,Fiorino,102991,Düz,Dizel,,45.0,1.248,95.0,0,4
347,360000,2016,Fiat,Fiorino Combi 1.3 Multijet Safeline,Fiorino,91400,Düz,Dizel,,45.0,1.248,75.0,0,0
348,305000,2006,Volkswagen,Jetta 1.6 Primeline,Jetta,245472,Düz,Benzinli/LPG,Önden Çekiş,55.0,1.595,102.0,6,0
349,215000,2009,Fiat,Doblo Combi 1.3 Multijet Carioca,Doblo,248000,Düz,Dizel,,60.0,1.248,75.0,2,0
350,325000,2010,Fiat,Punto EVO 1.4 8V Dynamic,Punto,112000,Düz,Benzinli,Önden Çekiş,45.0,1.368,77.0,0,1
351,280000,2011,Ford,Transit Connect GLX K210 S 1.8 TDCi,Transit Connect,215200,Düz,Dizel,Önden Çekiş,60.0,1.753,110.0,0,0
352,325000,2012,Renault,Clio 1.2 16V Joy,Clio,92000,Düz,Benzinli,Önden Çekiş,45.0,1.149,75.0,0,2
353,333000,2018,Renault,Symbol 1.5 dCi Joy,Symbol,130229,Düz,Benzinli,Önden Çekiş,50.0,1.461,75.0,0,2
354,450000,2022,Fiat,1.4 Fire Easy Plus 95 Ps Sedan,Egea,11500,Düz,Benzinli,Önden Çekiş,45.0,1.368,94.0,1,1
355,315000,2012,Renault,Clio Hb 0.9 Touch M-T,Clio,121053,Düz,Benzinli,,,,,4,4
356,439900,2019,Dacia,0.9 Tce Techroad 90 Ps Hatchback,Sandero,20500,Düz,Benzinli,Önden Çekiş,50.0,898.0,88.0,0,0
357,665000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,19000,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,0
358,585000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,33100,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,1
359,650000,2021,Peugeot,1.5 BlueHDI Active EAT8 132 Ps Hatchback,208,29366,Otomatik,Dizel,Önden Çekiş,41.0,1.499,130.0,0,0
360,485000,2021,Fiat,1.4 Fire Urban 95 Ps Cross,Egea,30435,Düz,Benzinli,,,1.368,94.0,0,1
361,625000,2022,Fiat,1.6 MultiJet Easy DCT 130 Ps Sedan,Egea,10555,Düz,Dizel,,,1.598,128.0,0,0
362,650000,2022,Fiat,1.6 MultiJet Easy DCT 130 Ps Sedan,Egea,16680,Düz,Dizel,,,1.598,128.0,0,0
363,452500,2018,Ford,1.5 TDCI Deluxe 95 Ps Kombi,Tourneo Courier,43838,Düz,Dizel,,45.0,1.499,94.0,0,0
364,400000,2017,Dacia,1.5 DCI Stepway Plus 90 Ps Kombi,Dokker,132010,Düz,Dizel,Önden Çekiş,50.0,1.461,88.0,0,1
365,175000,1999,Fiat,Siena 1.4 RT EL,Siena,196000,Düz,Benzinli/LPG,,,,,0,0
366,425000,2016,Fiat,1.3 MultiJet Urban 95 Ps Sedan,Egea,160379,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,1,0
367,512500,2018,Renault,1.5 DCI Icon EDC 90 Ps Hatchback,Clio,106516,Düz,Dizel,Önden Çekiş,45.0,1.461,89.0,3,0
368,467500,2019,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,68781,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,1,0
369,452500,2019,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,86265,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,3,0
370,550000,2022,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,17829,Düz,Dizel,Önden Çekiş,50.0,1.248,94.0,0,0
371,550000,2022,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,19870,Düz,Dizel,Önden Çekiş,50.0,1.248,94.0,0,0
372,590000,2018,Fiat,1.3 MultiJet Easy 95 Ps Sedan,Egea,50616,Düz,Dizel,Önden Çekiş,45.0,1.248,94.0,0,0
