fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boyali_parca,degisen_parca,fiyat_log
420900,4,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,48038,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,12.950150554758663
369900,5,Fiat,1.4 Fire Easy 95 Ps Sedan,Egea,128901,Düz,Dizel,Önden Çekiş,45.0,1368,94.0,1,3,12.820987977820545
515900,1,Fiat,1.6 MultiJet Safeline 120 Ps Combi,Doblo,11379,Düz,Dizel,Önden Çekiş,60.0,1598,118.0,0,0,13.15366822723274
350000,5,Fiat,1.3 MultiJet Easy 95 Ps Combi,Doblo,170506,Düz,Dizel,Önden Çekiş,60.0,1248,94.0,2,0,12.765688433465597
400000,2,Fiat,1.3 MultiJet Easy 95 Ps Combi,Doblo,94763,Düz,Dizel,Önden Çekiş,60.0,1248,94.0,0,0,12.89921982609012
549900,3,Dacia,1.6 Sce Eco-G Comfort 115 Ps SUV,Duster,31685,Düz,LPG & Benzin,Önden Çekiş,50.0,1598,113.0,0,0,13.217491722495906
420000,4,Renault,0.9 TCe Joy 90 Ps Sedan,Symbol,39227,Düz,Benzin,Önden Çekiş,50.0,8980,89.0,0,0,12.948009990259552
490000,3,Fiat,1.4 Fire Urban Plus 95 Ps Sedan,Egea,6328,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.102160670086809
480000,4,Fiat,1.4 Fire Urban Plus 95 Ps Sedan,Egea,24195,Düz,Benzin,Önden Çekiş,45.0,1368,94.0,0,0,13.081541382884074
525000,3,Fiat,1.4 16V Fire Street 95 Ps Hatchback,Egea,26045,Düz,Benzin,Önden Çekiş,50.0,1368,94.0,0,0,13.17115354157376
550000,4,Fiat,1.6 E-Torq Easy Otomatik 110 Ps Sedan,Egea,54967,Otomatik,Benzin,Önden Çekiş,45.0,1598,109.0,0,2,13.217673557208654
475000,4,Citroen,1.6 BlueHDI Feel 102 Ps Kombi,Berlingo,22138,Düz,LPG & Benzin,Önden Çekiş,53.0,1560,100.0,0,0,13.071070083016778
350000,13,Skoda,Fabia 1.4 PD TDi Classic,Fabia,138520,Düz,Dizel,Önden Çekiş,45.0,1422,70.0,0,0,12.765688433465597
485000,2,Citroen,1.5 BlueHDI Feel 100 Ps Sedan,C-Elysee,39026,Düz,Benzin,Önden Çekiş,50.0,1499,98.0,0,0,13.091904169919621
520000,10,Opel,Corsa 1.2i Twinport Essentia S-S,Corsa,155626,Düz,Benzin,Önden Çekiş,45.0,1229,85.0,0,0,13.16158409055761
510000,3,Fiat,1.3 MultiJet Easy Plus 95 Ps Sedan,Egea,28500,Düz,Dizel,Önden Çekiş,45.0,1248,94.0,1,2,13.142166004700508
550000,2,Fiat,1.6 MultiJet Trekking 120 Ps Combi,Doblo,10478,Düz,Dizel,Önden Çekiş,60.0,1598,118.0,0,0,13.217673557208654
415000,11,Ford,1.6 Ti-VCT Style Plus 125 Ps Hatchback,Focus,132934,Otomatik,LPG & Benzin,Önden Çekiş,55.0,1596,123.0,3,2,12.936033799212835
460000,12,Hyundai,Elantra 1.6 D-CVVT Prime Plus Otomatik,Elantra,98495,Otomatik,Benzin,Önden Çekiş,48.0,1591,132.0,0,1,13.038981768465277
