,fiyat,yil,marka,seri,model,kilometre,vites_tipi,yakit_tipi,cekis,yakit_deposu,motor_hacmi,motor_gucu,boya_degisen,boyali_parca,degisen_parca
479,219000,2005.0,Citroen,C3,1.4 HDi SX,190.0,Düz,Dizel,Önden Çekiş,45.0,1398.0,93.0,"1 değişen, 8 boyalı",8,1
480,376000,2017.0,Opel,Astra,1.6 CDTI Design,232.0,Düz,Dizel,Önden Çekiş,56.0,1598.0,110.0,"1 değişen, 4 boyalı",4,1
481,648000,2021.0,Opel,Corsa,1.2 Turbo Elegance,35.409,Otomatik,Benzin,Önden Çekiş,44.0,1199.0,100.0,"2 değişen, 3 boyalı",3,2
482,585000,2015.0,Volkswagen,Golf,1.4 TSi Highline,118.0,Yarı Otomatik,Benzin,Önden Çekiş,50.0,1395.0,125.0,2 değişen,0,2
483,410000,2007.0,BMW,3 Serisi,316i Standart,277.0,Düz,Benzin,Arkadan İtiş,60.0,1597.0,122.0,"1 değişen, 1 boyalı",1,1
484,575000,2017.0,Renault,Megane,1.5 dCi Touch,115.0,Yarı Otomatik,Dizel,Önden Çekiş,49.0,1461.0,110.0,"1 değişen, 2 boyalı",2,1
485,264750,2010.0,Fiat,Punto,Grande 1.3 Multijet 1.3 Multijet,184.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,75.0,,0,0
486,487500,2015.0,Seat,Leon,1.6 TDI Sport Tourer Style,165.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,110.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
487,334500,2012.0,Hyundai,Accent Era,1.5 CRDi Mode,149.0,Otomatik,Dizel,Önden Çekiş,45.0,1493.0,110.0,,0,0
488,729000,2016.0,Volkswagen,VW CC,1.4 TSi,112.0,Yarı Otomatik,Benzin,Önden Çekiş,70.0,1395.0,150.0,,0,0
489,92900,1997.0,Daewoo,Tico,0.8 SX,274.0,Düz,LPG & Benzin,Önden Çekiş,30.0,796.0,41.0,,0,0
490,325000,2015.0,Renault,Fluence,1.5 dCi Icon,252.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
491,850000,2012.0,Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,130.0,Otomatik,Benzin,Arkadan İtiş,67.0,1597.0,156.0,2 boyalı,2,0
492,375000,2014.0,Renault,Clio,1.5 dCi Touch,194.0,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,"2 değişen, 2 boyalı",2,2
493,495000,2015.0,Ford,Focus,1.6 TDCi Titanium,177.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,115.0,"1 değişen, 2 boyalı",2,1
494,316500,2010.0,Opel,Corsa,1.3 CDTI Essentia,115.324,Düz,Dizel,Önden Çekiş,45.0,1248.0,75.0,"1 değişen, 2 boyalı",2,1
495,169000,1998.0,Volkswagen,Passat,1.8,360.0,Düz,LPG & Benzin,4WD (Sürekli),,1781.0,125.0,,0,0
496,242000,2012.0,Chevrolet,Aveo,1.2 LS,119.0,Düz,Benzin,Önden Çekiş,45.0,1206.0,84.0,,0,0
497,1675000,2018.0,Mercedes - Benz,C,C 200 D AMG,56.0,Otomatik,Dizel,Arkadan İtiş,66.0,1598.0,160.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
498,265000,2004.0,Renault,Megane,1.5 dCi Dynamique,283.0,Düz,Dizel,Önden Çekiş,,,,,0,0
499,165000,1998.0,Opel,Corsa,1.4 Swing,274.0,Düz,LPG & Benzin,Önden Çekiş,42.0,1389.0,90.0,,0,0
500,267000,2011.0,Volkswagen,Polo,1.4 Comfortline,193.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1390.0,85.0,,0,0
501,295500,2012.0,Renault,Megane,1.5 dCi Business,277.5,Düz,Dizel,Önden Çekiş,60.0,1461.0,90.0,"2 değişen, 7 boyalı",7,2
502,367900,2012.0,Opel,Corsa,1.2 Twinport Enjoy,97.0,Yarı Otomatik,Benzin,Önden Çekiş,45.0,1229.0,85.0,1 değişen,0,1
503,170000,2001.0,Citroen,Xsara,Picasso 1.6 SX,295.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1587.0,96.0,"2 değişen, 7 boyalı",7,2
504,750000,2015.0,BMW,3 Serisi,320d Techno Plus,297.0,Otomatik,Dizel,Arkadan İtiş,57.0,1995.0,190.0,"2 değişen, 2 boyalı",2,2
505,355000,2011.0,Skoda,SuperB,1.6 TDI Comfort,300.0,Düz,Dizel,Önden Çekiş,60.0,1598.0,105.0,,0,0
506,520000,2013.0,Volkswagen,Golf,1.2 TSi Midline Plus,190.0,Yarı Otomatik,Benzin,Önden Çekiş,50.0,1197.0,105.0,,0,0
507,272000,2003.0,Honda,Civic,1.6 i-VTEC ES,289.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1590.0,110.0,"1 değişen, 8 boyalı",8,1
508,295750,2008.0,Hyundai,Sonata,2.0 CRDi H-Matic,249.0,Otomatik,Dizel,Önden Çekiş,70.0,1991.0,140.0,,0,0
509,355000,2012.0,Alfa Romeo,Giulietta,1.6 JTD Progression Plus,299.5,Düz,Dizel,Önden Çekiş,60.0,1598.0,105.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
510,255000,2001.0,Mercedes - Benz,A,A 160 Elegance,329.0,Otomatik,Benzin,Önden Çekiş,54.0,1598.0,102.0,,0,0
511,790000,2007.0,Mercedes - Benz,E,200 Kompressor Avantgarde,221.0,Otomatik,LPG & Benzin,Arkadan İtiş,65.0,1796.0,184.0,,0,0
512,530000,2015.0,Peugeot,508,1.6 BlueHDi Active,180.0,Otomatik,Dizel,Önden Çekiş,72.0,1560.0,122.0,,0,0
513,630000,2010.0,Mercedes - Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,230.0,Otomatik,LPG & Benzin,Arkadan İtiş,66.0,1597.0,156.0,"1 değişen, 1 boyalı",1,1
514,298500,2012.0,Hyundai,Accent Blue,1.4 CVVT Biz,316.5,Düz,LPG & Benzin,Önden Çekiş,43.0,1396.0,108.0,,0,0
515,270000,2009.0,Fiat,Bravo,1.6 Mjet Dynamic,196.0,Düz,Dizel,Önden Çekiş,58.0,1598.0,120.0,12 boyalı,12,0
516,160000,2006.0,Chevrolet,Aveo,1.2 S,143.0,Düz,Benzin,Önden Çekiş,45.0,1150.0,72.0,,0,0
517,260000,2015.0,Renault,Symbol,1.5 dCi Joy,192.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,"3 değişen, 4 boyalı",4,3
518,300000,2002.0,BMW,3 Serisi,325ti Compact,280.0,Düz,LPG & Benzin,Arkadan İtiş,63.0,2494.0,192.0,12 boyalı,12,0
519,650000,2006.0,BMW,5 Serisi,530xd Standart,330.0,Otomatik,Dizel,4WD (Sürekli),70.0,2993.0,231.0,2 boyalı,2,0
520,295000,2012.0,Citroen,C5,1.6 e-HDi Confort,308.0,Yarı Otomatik,Dizel,Önden Çekiş,,,,,0,0
521,260000,2004.0,Volvo,S60,2.3 T5,435.14,Otomatik,LPG & Benzin,Önden Çekiş,80.0,2319.0,250.0,,0,0
522,280000,2014.0,Opel,Corsa,1.3 CDTI Essentia,294.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,75.0,,0,0
523,1350000,2015.0,Audi,S,S3 2.0 TFSI Quattro,132.0,Yarı Otomatik,Benzin,4WD (Sürekli),55.0,1984.0,285.0,,0,0
524,259500,2012.0,Renault,Symbol,1.5 dCi Authentique,147.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,6 boyalı,6,0
525,417500,2016.0,Toyota,Corolla,1.4 D-4D Touch,200.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1364.0,90.0,6 boyalı,6,0
526,499500,2012.0,Honda,Civic,1.6 i-VTEC Dream,145.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
527,229000,2003.0,Ford,Focus,1.6 Comfort,308.0,Düz,LPG & Benzin,Önden Çekiş,55.0,1596.0,100.0,4 boyalı,4,0
528,135000,1989.0,Mercedes - Benz,200,E,400.0,Düz,LPG & Benzin,Arkadan İtiş,,1997.0,118.0,,0,0
529,442000,2016.0,Seat,Toledo,1.4 TDI Style,220.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1422.0,90.0,,0,0
530,174000,2000.0,Renault,Clio,1.6 RTE,283.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1598.0,90.0,,0,0
531,524900,2014.0,Skoda,Octavia,1.6 TDI Elegance CR,198.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,105.0,,0,0
532,685000,2018.0,Ford,Focus,1.5 TDCi Trend X,70.0,Otomatik,Dizel,Önden Çekiş,47.0,1500.0,120.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
533,700000,2015.0,Audi,A3,A3 Sportback 1.6 TDI Attraction,119.412,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,110.0,1 boyalı,1,0
534,340000,2011.0,Opel,Astra,1.3 CDTI Enjoy Plus,310.0,Yarı Otomatik,Dizel,Önden Çekiş,52.0,1248.0,90.0,,0,0
535,237750,2004.0,Hyundai,Accent,1.3 Admire,186.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1341.0,86.0,,0,0
536,534500,2014.0,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,140.0,Yarı Otomatik,Benzin,Önden Çekiş,70.0,1390.0,122.0,"3 değişen, 4 boyalı",4,3
537,210000,2006.0,Opel,Corsa,1.3 CDTI Essentia,205.0,Yarı Otomatik,Dizel,Önden Çekiş,44.0,1248.0,70.0,"3 değişen, 3 boyalı",3,3
538,525000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,73.601,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,"2 değişen, 2 boyalı",2,2
539,525000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,74.628,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,"1 değişen, 4 boyalı",4,1
540,585000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,48.917,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
541,555000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,74.64,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,1 boyalı,1,0
542,555000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,74.64,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,1 boyalı,1,0
543,565000,2019.0,Renault,Clio,1.5 dCi Touch,68.139,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,3 boyalı,3,0
544,565000,2019.0,Renault,Clio,1.5 dCi Touch,87.515,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
545,555000,2018.0,Hyundai,Accent Blue,1.6 CRDI Mode,83.582,Otomatik,Dizel,Önden Çekiş,43.0,1582.0,136.0,1 boyalı,1,0
546,360000,2009.0,Volkswagen,Passat,1.8 TSi Highline,215.0,Yarı Otomatik,LPG & Benzin,Önden Çekiş,70.0,1798.0,160.0,,0,0
547,805000,2017.0,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,201.0,Yarı Otomatik,Dizel,Önden Çekiş,66.0,1598.0,120.0,,0,0
548,325000,2010.0,Ford,Focus,1.6 TDCi Titanium,286.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,110.0,1 boyalı,1,0
549,285000,1998.0,Mercedes - Benz,E,200 Elegance,350.0,Düz,LPG & Benzin,Arkadan İtiş,65.0,1998.0,136.0,,0,0
550,379000,2011.0,Citroen,C4,1.6 e-HDi Confort Plus,141.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1560.0,114.0,,0,0
551,260000,2011.0,Fiat,Linea,1.3 Multijet Emotion,208.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,90.0,,0,0
552,163000,2012.0,Dacia,Logan,1.6 Ambiance,342.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1598.0,90.0,,0,0
553,999000,2016.0,BMW,3 Serisi,320i ED 40th Year Edition,85.0,Otomatik,Benzin,Arkadan İtiş,60.0,1598.0,170.0,,0,0
554,215000,2008.0,Renault,Clio,1.5 dCi Expression,290.0,Düz,Dizel,Önden Çekiş,55.0,1461.0,86.0,,0,0
555,174000,2002.0,Hyundai,Accent,1.3 LX,225.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1341.0,86.0,,0,0
556,148500,2000.0,Fiat,Palio,1.6 HL,206.0,Düz,LPG & Benzin,Önden Çekiş,51.0,1581.0,100.0,,0,0
557,124500,1995.0,Hyundai,Accent,1.5 GLS,271.0,Düz,LPG & Benzin,Önden Çekiş,,1495.0,92.0,,0,0
558,159000,1988.0,Mercedes - Benz,200,E,350.0,Düz,LPG & Benzin,Arkadan İtiş,,1997.0,118.0,,0,0
559,325000,2014.0,Hyundai,i20,1.4 CRDi Jump,296.0,Düz,Dizel,Önden Çekiş,45.0,1396.0,90.0,2 değişen,0,2
560,525000,2015.0,Renault,Fluence,1.5 dCi Icon,150.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
561,325000,2006.0,Ford,Focus,1.6 TDCi Ghia,180.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,110.0,3 boyalı,3,0
562,423000,2012.0,Opel,Astra,1.6 Essentia Konfor,157.0,Yarı Otomatik,LPG & Benzin,Önden Çekiş,52.0,1598.0,115.0,,0,0
563,398000,2006.0,BMW,3 Serisi,320i Premium,216.0,Otomatik,LPG & Benzin,Arkadan İtiş,60.0,1995.0,150.0,,0,0
564,535000,2012.0,Honda,Civic,1.6 i-VTEC ECO Elegance,111.5,Düz,LPG & Benzin,Önden Çekiş,50.0,1595.0,125.0,1 boyalı,1,0
565,69500,1995.0,Tofaş,Şahin,S,258.0,Düz,LPG & Benzin,Arkadan İtiş,,1581.0,80.0,,0,0
566,225000,2007.0,Opel,Corsa,1.3 CDTI Enjoy,374.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,90.0,"1 değişen, 4 boyalı",4,1
567,267000,2013.0,Fiat,Linea,1.3 Multijet Active Plus,246.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,,0,0
568,455000,2013.0,Renault,Megane,1.5 dCi Icon,147.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
569,265000,2006.0,Renault,Megane,1.5 dCi Privilege,280.0,Düz,Dizel,Önden Çekiş,60.0,1461.0,106.0,,0,0
570,555000,2015.0,Hyundai,i30,1.6 CRDi Style Design Pack,130.0,Yarı Otomatik,Dizel,Önden Çekiş,53.0,1582.0,136.0,,0,0
571,395000,2015.0,Renault,Clio,1.5 dCi Icon,237.0,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,,0,0
572,259950,2007.0,Peugeot,207,1.4 HDi Trendy,280.0,Düz,Dizel,Önden Çekiş,50.0,1398.0,71.0,,0,0
573,399950,2003.0,BMW,5 Serisi,530i Standart,385.0,Otomatik,LPG & Benzin,Arkadan İtiş,70.0,2979.0,231.0,"1 değişen, 9 boyalı",9,1
574,329950,2006.0,Audi,A3,A3 Sportback 1.6 Attraction,238.0,Otomatik,LPG & Benzin,Önden Çekiş,55.0,1595.0,102.0,"3 değişen, 8 boyalı",8,3
575,239950,2001.0,Volkswagen,Bora,1.6 Comfortline,350.0,Otomatik,LPG & Benzin,Önden Çekiş,55.0,1595.0,102.0,"2 değişen, 8 boyalı",8,2
576,149950,1997.0,Opel,Astra,1.6 GLS,283.0,Düz,LPG & Benzin,Önden Çekiş,,1598.0,100.0,,0,0
577,4850000,2022.0,Mercedes - Benz,EQS,350 AMG,8.53,Otomatik,Elektrik,Arkadan İtiş,,,292.0,,0,0
578,12350000,2012.0,Ferrari,458,Italia,57.0,Otomatik,Benzin,Arkadan İtiş,86.0,4499.0,570.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
579,2350000,2013.0,BMW,7 Serisi,730d Long Standart,246.0,Otomatik,Dizel,Arkadan İtiş,80.0,2993.0,258.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
580,10500000,2021.0,Mercedes - Benz,S,S 400 400 d AMG,45.0,Otomatik,Dizel,4WD (Sürekli),,,,,0,0
581,360000,2012.0,Volkswagen,Scirocco,1.4 TSi Sportline,114.356,Yarı Otomatik,Benzin,Önden Çekiş,55.0,1390.0,160.0,"3 değişen, 3 boyalı",3,3
582,625000,2014.0,Honda,Civic,1.6 i-VTEC ECO Elegance,110.0,Otomatik,LPG & Benzin,Önden Çekiş,50.0,1598.0,125.0,3 boyalı,3,0
583,217000,2004.0,Opel,Corsa,1.2 Enjoy,229.0,Düz,LPG & Benzin,Önden Çekiş,44.0,1199.0,75.0,,0,0
584,295000,2009.0,Peugeot,407,1.6 HDi Comfort,275.0,Düz,Dizel,Önden Çekiş,66.0,1560.0,112.0,3 boyalı,3,0
585,1349000,2014.0,Mercedes - Benz,C,C 180 AMG 7G-Tronic,69.0,Otomatik,Benzin,Arkadan İtiş,41.0,1595.0,156.0,,0,0
586,230000,2005.0,Hyundai,Accent,1.3 Admire,149.0,Düz,LPG & Benzin,Önden Çekiş,45.0,1341.0,86.0,,0,0
587,155000,1993.0,Toyota,Corolla,1.6 XL,253.0,Düz,LPG & Benzin,Önden Çekiş,,1587.0,114.0,,0,0
588,160000,2005.0,Renault,Clio,1.5 dCi Authentique,346.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,65.0,,0,0
589,570000,2013.0,Seat,Leon,1.4 TSI FR,118.3,Düz,Benzin,Önden Çekiş,50.0,1395.0,140.0,3 boyalı,3,0
590,319750,2010.0,Ford,Focus,1.6 TDCi Trend X,270.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,90.0,8 boyalı,8,0
591,225000,1999.0,Honda,Civic,1.4 S,134.0,Otomatik,Benzin,Önden Çekiş,55.0,1396.0,90.0,,0,0
592,260000,2012.0,Fiat,Linea,1.3 Multijet Active Plus,199.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,,0,0
593,269000,2015.0,Fiat,Linea,1.3 Multijet Pop,207.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,,0,0
594,555000,2011.0,Audi,A4,A4 Sedan 2.0 TDI,359.0,Yarı Otomatik,Dizel,Önden Çekiş,65.0,1968.0,,4 boyalı,4,0
595,439900,2017.0,Renault,Clio,1.5 dCi Touch,125.0,Yarı Otomatik,Dizel,Önden Çekiş,45.0,1461.0,90.0,,0,0
596,299900,2016.0,Renault,Symbol,1.5 dCi Joy,157.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,"1 değişen, 1 boyalı",1,1
597,397900,2018.0,Renault,Symbol,1.5 dCi Joy,98.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,1 değişen,0,1
598,675000,2013.0,Audi,A4,A4 Sedan 2.0 TDI,275.0,Otomatik,Dizel,Önden Çekiş,63.0,1968.0,177.0,,0,0
599,600000,2021.0,Renault,Megane,1.3 TCe Joy Comfort,24.0,Yarı Otomatik,Benzin,Önden Çekiş,50.0,1332.0,140.0,1 boyalı,1,0
600,555000,2014.0,Volvo,S60,1.6 D Premium,173.0,Yarı Otomatik,Dizel,Önden Çekiş,67.0,1560.0,115.0,5 boyalı,5,0
601,435000,2016.0,Dacia,Sandero,1.5 dCi Stepway,60.4,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1461.0,90.0,,0,0
602,885000,2019.0,Honda,Civic,1.6 i-VTEC Executive,63.0,Otomatik,Benzin,Önden Çekiş,,1597.0,125.0,,0,0
603,270000,2011.0,Fiat,Panda,1.2 Dynamic,84.0,Düz,Benzin,Önden Çekiş,35.0,1242.0,60.0,,0,0
604,635000,2017.0,Toyota,Corolla,1.6 Advance,60.0,Düz,Benzin,Önden Çekiş,,1598.0,132.0,,0,0
605,330000,2014.0,Dacia,Logan,1.6 MCV Ambiance,135.0,Düz,Benzin,Önden Çekiş,,1149.0,75.0,,0,0
606,1185000,2014.0,BMW,5 Serisi,520i Premium,155.0,Otomatik,Benzin,Arkadan İtiş,70.0,1592.0,170.0,,0,0
607,279000,2013.0,Dacia,Sandero,1.2 Ambiance,211.0,Düz,Benzin,Önden Çekiş,50.0,1149.0,75.0,,0,0
608,322000,2011.0,Citroen,C4,1.6 HDi Confort,288.7,Düz,Dizel,Önden Çekiş,60.0,1560.0,93.0,,0,0
609,320000,2016.0,Fiat,Egea,1.3 Multijet Easy,256.0,Düz,Dizel,Önden Çekiş,45.0,1248.0,95.0,,0,0
610,243000,2007.0,Hyundai,Getz,1.4 DOHC AB AC,231.0,Düz,Benzin,Önden Çekiş,45.0,1399.0,97.0,,0,0
611,610000,2012.0,Volkswagen,Passat,1.4 TSi Comfortline,155.0,Otomatik,Benzin,Önden Çekiş,70.0,1390.0,122.0,,0,0
612,485000,2015.0,Opel,Corsa,1.4 Enjoy,55.5,Otomatik,Benzin,Önden Çekiş,45.0,1398.0,90.0,,0,0
613,780000,2016.0,Volkswagen,Golf,1.6 Highline,69.9,Otomatik,Dizel,Önden Çekiş,,1598.0,110.0,,0,0
614,830000,2012.0,Mercedes - Benz,C,C 180 AMG 7G-Tronic,153.0,Otomatik,Benzin,Önden Çekiş,,1796.0,156.0,,0,0
615,435000,2012.0,Volkswagen,Scirocco,1.4 TSi Sportline,215.0,Yarı Otomatik,Benzin,Önden Çekiş,55.0,1390.0,160.0,,0,0
616,660000,2020.0,Ford,Focus,1.5 Ti-VCT Trend X,41.0,Düz,Benzin,Önden Çekiş,52.0,1497.0,123.0,,0,0
617,380000,2012.0,Renault,Fluence,1.5 dCi Extreme,169.0,Yarı Otomatik,Dizel,Önden Çekiş,60.0,1461.0,110.0,,0,0
618,645000,2017.0,Volkswagen,Polo,1.0 Comfortline,52.0,Yarı Otomatik,Benzin,Önden Çekiş,40.0,999.0,95.0,,0,0
619,815000,2022.0,Volkswagen,Polo,1.0 Life,6.2,Yarı Otomatik,Benzin,Önden Çekiş,40.0,999.0,95.0,,0,0
620,499999,2020.0,Fiat,Egea,1.4 Fire Urban Plus,24.0,Düz,Benzin,Önden Çekiş,50.0,1368.0,95.0,,0,0
621,980000,2018.0,Volkswagen,Passat Variant,1.6 TDi Comfortline,45.0,Düz,Dizel,Önden Çekiş,70.0,1598.0,105.0,,0,0
622,460000,2016.0,Opel,Astra,1.6 Edition,71.0,Düz,Benzin,Önden Çekiş,56.0,1598.0,115.0,,0,0
623,625000,2016.0,Volkswagen,Golf,1.4 TSi Comfortline,102.0,Düz,Benzin,Önden Çekiş,50.0,1395.0,122.0,,0,0
624,250000,2012.0,Peugeot,207,1.6 HDi Allure,163.0,Düz,Dizel,Önden Çekiş,50.0,1560.0,93.0,"4 değişen, 8 boyalı",8,4
625,265000,2000.0,Volkswagen,Passat,1.8 T Highline,379.0,Otomatik,LPG & Benzin,Önden Çekiş,62.0,1781.0,150.0,"2 değişen, 7 boyalı",7,2
626,320000,2012.0,Mitsubishi,Colt,1.3 Elegance,110.0,Düz,Benzin,Önden Çekiş,47.0,1332.0,95.0,,0,0
627,205000,2016.0,Renault,Symbol,1.5 dCi Joy,100.0,Düz,Dizel,Önden Çekiş,50.0,1461.0,90.0,Tamamı boyalı,Tamamı,0
628,375000,2013.0,Volkswagen,Jetta,1.4 TSi Comfortline,140.0,Yarı Otomatik,Benzin,Önden Çekiş,55.0,1390.0,122.0,,0,0
629,465000,2014.0,Seat,Toledo,1.6 TDI Style,108.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,90.0,,0,0
630,840000,2017.0,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,143.0,Yarı Otomatik,Benzin,Önden Çekiş,66.0,1395.0,125.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
631,310000,2015.0,Peugeot,301,1.6 HDi Active,200.5,Düz,Dizel,Önden Çekiş,50.0,1560.0,93.0,"1 değişen, 1 boyalı",1,1
632,307000,2012.0,Renault,Symbol,1.2 Authentique,104.278,Düz,Benzin,Önden Çekiş,50.0,1149.0,75.0,,0,0
633,345000,2010.0,Renault,Fluence,1.5 dCi Expression,192.0,Düz,Dizel,Önden Çekiş,,,,,0,0
634,439500,2014.0,Volkswagen,Jetta,1.6 TDi Comfortline,185.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1598.0,105.0,"1 değişen, 6 boyalı",6,1
635,525000,2016.0,Ford,Focus,1.5 TDCi Trend X,200.0,Yarı Otomatik,Dizel,Önden Çekiş,55.0,1499.0,120.0,,0,0
636,1220000,2015.0,Mercedes - Benz,E,180 Elite,125.0,Otomatik,Benzin,Arkadan İtiş,59.0,1595.0,156.0,2 boyalı,2,0
637,1850000,2017.0,Mercedes - Benz,E,180 AMG,119.0,Otomatik,Benzin,Arkadan İtiş,50.0,1595.0,156.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
638,285000,2012.0,Fiat,Bravo,1.4 Active Plus,240.0,Düz,LPG & Benzin,Önden Çekiş,58.0,1368.0,90.0,"1 değişen, 2 boyalı",2,1
639,1665000,2017.0,Mercedes - Benz,E,180 Exclusive,135.0,Otomatik,Benzin,Arkadan İtiş,50.0,1595.0,156.0,2 boyalı,2,0
640,309000,2008.0,Renault,Megane,1.5 dCi Privilege,197.0,Otomatik,Dizel,Önden Çekiş,60.0,1461.0,100.0,5 boyalı,5,0
641,169750,2001.0,Fiat,Palio,1.2 S,150.0,Düz,Benzin,Önden Çekiş,51.0,1242.0,74.0,1 değişen,0,1
642,615000,2014.0,Audi,A3,A3 Sportback 1.6 TDI Ambition,205.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,110.0,,0,0
643,665000,2013.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,169.0,Yarı Otomatik,Dizel,Önden Çekiş,50.0,1598.0,105.0,,0,0
644,455000,2016.0,Citroen,C3,1.6 BlueHDI Live,53.0,Düz,Dizel,Önden Çekiş,42.0,1560.0,76.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
645,649000,2017.0,Opel,Astra,1.6 CDTI Elite,65.0,Otomatik,Dizel,Önden Çekiş,56.0,1598.0,136.0,,0,0
646,198000,2007.0,Peugeot,107,1.0 Trendy,210.0,Düz,Benzin,Önden Çekiş,35.0,998.0,69.0,,0,0
647,645000,2016.0,Ford,Focus,1.6 TDCi Titanium,75.0,Düz,Dizel,Önden Çekiş,55.0,1560.0,115.0,,0,0
648,233000,2006.0,Opel,Vectra,1.9 CDTI Comfort,299.0,Otomatik,Dizel,Önden Çekiş,60.0,1910.0,150.0,,0,0
649,655000,2023.0,Hyundai,i20,1.4 MPI Style,1.001,Otomatik,Benzin,Önden Çekiş,40.0,1368.0,100.0,Tamamı orjinal,Tamamı orjinal,Tamamı orjinal
650,175000,2004.0,Ford,Fiesta,1.4 TDCi Comfort,253.0,Düz,Dizel,Önden Çekiş,45.0,1399.0,68.0,"2 değişen, 4 boyalı",4,2
651,175000,2008.0,Chevrolet,Aveo,1.4 SX,266.0,Düz,Benzin,Önden Çekiş,45.0,1399.0,100.0,"2 değişen, 2 boyalı",2,2
652,430000,2010.0,Toyota,Verso,1.6 Comfort Extra,78.0,Düz,Benzin,,,,,,0,0
653,236000,2005.0,Honda,Civic,1.6 i-VTEC LS,328.0,Düz,LPG & Benzin,Önden Çekiş,50.0,1590.0,110.0,Tamamı boyalı,Tamamı,0
